"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A9",0,5.03423670663201,1,0.694,0,"CD14 Mono","S100A9"
"S100A8",0,4.92236876230043,0.996,0.505,0,"CD14 Mono","S100A8"
"LYZ",0,4.31185047811624,1,0.687,0,"CD14 Mono","LYZ"
"VCAN",0,3.77938404590183,0.987,0.198,0,"CD14 Mono","VCAN"
"IL1B",0,3.4538344225557,0.581,0.255,0,"CD14 Mono","IL1B"
"FOS",0,3.33119068645508,0.963,0.42,0,"CD14 Mono","FOS"
"G0S2",0,3.25230537270679,0.637,0.211,0,"CD14 Mono","G0S2"
"FCN1",0,3.17004268022427,0.999,0.267,0,"CD14 Mono","FCN1"
"S100A12",0,2.96722434458622,0.919,0.098,0,"CD14 Mono","S100A12"
"CCL3",0,2.91641635889539,0.543,0.222,0,"CD14 Mono","CCL3"
"CTSS",0,2.91627011279271,1,0.689,0,"CD14 Mono","CTSS"
"NFKBIA",0,2.91054804112655,0.928,0.627,0,"CD14 Mono","NFKBIA"
"MNDA",0,2.91042538351774,0.994,0.216,0,"CD14 Mono","MNDA"
"CXCL8",0,2.76743921358645,0.519,0.101,0,"CD14 Mono","CXCL8"
"CD14",0,2.70505982944527,0.975,0.09,0,"CD14 Mono","CD14"
"NEAT1",0,2.67431051525948,1,0.894,0,"CD14 Mono","NEAT1"
"NAMPT",0,2.51202971370895,0.929,0.247,0,"CD14 Mono","NAMPT"
"TNFAIP2",0,2.41869941174962,0.942,0.157,0,"CD14 Mono","TNFAIP2"
"CEBPD",0,2.38196042835133,0.954,0.228,0,"CD14 Mono","CEBPD"
"SAT1",0,2.29089610141697,0.998,0.675,0,"CD14 Mono","SAT1"
"SOD2",0,2.21610986585605,0.826,0.286,0,"CD14 Mono","SOD2"
"DUSP1",0,2.21096104785382,0.989,0.535,0,"CD14 Mono","DUSP1"
"CYBB",0,2.18502677404309,0.983,0.213,0,"CD14 Mono","CYBB"
"PSAP",0,2.18086710259888,0.999,0.504,0,"CD14 Mono","PSAP"
"CST3",0,2.16796949896009,1,0.367,0,"CD14 Mono","CST3"
"MS4A6A",0,2.15266866683937,0.96,0.098,0,"CD14 Mono","MS4A6A"
"FGL2",0,2.15233688243992,0.985,0.221,0,"CD14 Mono","FGL2"
"APLP2",0,2.15077663977409,0.986,0.357,0,"CD14 Mono","APLP2"
"FTL",0,2.14875848939662,1,0.998,0,"CD14 Mono","FTL"
"AC020656.1",0,2.14431837773242,0.814,0.102,0,"CD14 Mono","AC020656.1"
"GRN",0,2.1416020614576,0.985,0.229,0,"CD14 Mono","GRN"
"TYROBP",0,2.14158806798075,1,0.457,0,"CD14 Mono","TYROBP"
"TYMP",0,2.11544896711754,0.988,0.294,0,"CD14 Mono","TYMP"
"CSF3R",0,2.09714649241503,0.937,0.089,0,"CD14 Mono","CSF3R"
"SRGN",0,2.04949012050777,1,0.763,0,"CD14 Mono","SRGN"
"IER3",0,2.04428988954815,0.759,0.102,0,"CD14 Mono","IER3"
"FTH1",0,2.03757384971197,1,0.997,0,"CD14 Mono","FTH1"
"TKT",0,2.03248305306594,0.993,0.489,0,"CD14 Mono","TKT"
"MARCKS",0,2.00697111129609,0.82,0.201,0,"CD14 Mono","MARCKS"
"ATP2B1-AS1",0,1.98425486111465,0.868,0.202,0,"CD14 Mono","ATP2B1-AS1"
"CSTA",0,1.96992488912313,0.955,0.122,0,"CD14 Mono","CSTA"
"AP1S2",0,1.96879651964538,0.98,0.352,0,"CD14 Mono","AP1S2"
"AIF1",0,1.91211973206355,0.999,0.437,0,"CD14 Mono","AIF1"
"S100A6",0,1.90351745485238,1,0.959,0,"CD14 Mono","S100A6"
"IER2",0,1.90122655743811,0.965,0.624,0,"CD14 Mono","IER2"
"NFKBIZ",0,1.8907813908329,0.807,0.368,0,"CD14 Mono","NFKBIZ"
"TSPO",0,1.87164670047146,0.998,0.647,0,"CD14 Mono","TSPO"
"MPEG1",0,1.85582268862048,0.948,0.135,0,"CD14 Mono","MPEG1"
"SERPINA1",0,1.84046881730755,0.971,0.13,0,"CD14 Mono","SERPINA1"
"S100A11",0,1.82644634013973,1,0.697,0,"CD14 Mono","S100A11"
"NCF2",0,1.80626779231501,0.944,0.136,0,"CD14 Mono","NCF2"
"RGS2",0,1.79683116880492,0.782,0.216,0,"CD14 Mono","RGS2"
"ZFP36",0,1.77548007065841,0.955,0.525,0,"CD14 Mono","ZFP36"
"CD36",0,1.75714775259624,0.874,0.07,0,"CD14 Mono","CD36"
"BRI3",0,1.75442096818364,0.99,0.47,0,"CD14 Mono","BRI3"
"CLEC7A",0,1.7045839753098,0.924,0.118,0,"CD14 Mono","CLEC7A"
"PPP1R15A",0,1.68335590057244,0.767,0.269,0,"CD14 Mono","PPP1R15A"
"CPVL",0,1.67424959469568,0.889,0.106,0,"CD14 Mono","CPVL"
"CEBPB",0,1.66984379043279,0.97,0.457,0,"CD14 Mono","CEBPB"
"LGALS2",0,1.66670206252581,0.716,0.077,0,"CD14 Mono","LGALS2"
"PLAUR",0,1.64696019183175,0.751,0.082,0,"CD14 Mono","PLAUR"
"CFD",0,1.61225351263454,0.953,0.159,0,"CD14 Mono","CFD"
"CLEC12A",0,1.61153459509972,0.885,0.106,0,"CD14 Mono","CLEC12A"
"SLC11A1",0,1.61124700839915,0.846,0.091,0,"CD14 Mono","SLC11A1"
"NLRP3",0,1.60830373397154,0.648,0.065,0,"CD14 Mono","NLRP3"
"NCF1",0,1.60783972081617,0.866,0.292,0,"CD14 Mono","NCF1"
"BCL2A1",0,1.58360538052953,0.676,0.192,0,"CD14 Mono","BCL2A1"
"PLBD1",0,1.5764913781669,0.797,0.065,0,"CD14 Mono","PLBD1"
"LGALS3",0,1.56647499481563,0.918,0.217,0,"CD14 Mono","LGALS3"
"FCGRT",0,1.55292129623177,0.947,0.244,0,"CD14 Mono","FCGRT"
"SPI1",0,1.55097573542849,0.944,0.169,0,"CD14 Mono","SPI1"
"FPR1",0,1.55023584742811,0.807,0.054,0,"CD14 Mono","FPR1"
"EGR1",0,1.5409983756799,0.567,0.062,0,"CD14 Mono","EGR1"
"COTL1",0,1.52543070473361,0.999,0.585,0,"CD14 Mono","COTL1"
"LGALS1",0,1.52381672242135,0.989,0.528,0,"CD14 Mono","LGALS1"
"IGSF6",0,1.51674451415981,0.868,0.116,0,"CD14 Mono","IGSF6"
"KCTD12",0,1.49778931956513,0.822,0.077,0,"CD14 Mono","KCTD12"
"MAFB",0,1.49620674168486,0.642,0.082,0,"CD14 Mono","MAFB"
"TNFSF13B",0,1.49325431211276,0.874,0.13,0,"CD14 Mono","TNFSF13B"
"LST1",0,1.48571660346267,0.997,0.349,0,"CD14 Mono","LST1"
"CD68",0,1.4830084170573,0.907,0.127,0,"CD14 Mono","CD68"
"C5AR1",0,1.47890037804615,0.746,0.076,0,"CD14 Mono","C5AR1"
"VMP1",0,1.47521493521673,0.878,0.292,0,"CD14 Mono","VMP1"
"MCL1",0,1.47338619865593,0.943,0.547,0,"CD14 Mono","MCL1"
"RNF130",0,1.47064702410231,0.922,0.2,0,"CD14 Mono","RNF130"
"DMXL2",0,1.46430837736484,0.812,0.077,0,"CD14 Mono","DMXL2"
"ZEB2",0,1.46156093741443,0.959,0.403,0,"CD14 Mono","ZEB2"
"PLEK",0,1.4600300152281,0.881,0.464,0,"CD14 Mono","PLEK"
"TALDO1",0,1.45526959801684,0.956,0.428,0,"CD14 Mono","TALDO1"
"S100A4",0,1.44987672650106,1,0.925,0,"CD14 Mono","S100A4"
"PTPRE",0,1.43796115449354,0.886,0.26,0,"CD14 Mono","PTPRE"
"TNFAIP3",0,1.43779630310761,0.619,0.433,0,"CD14 Mono","TNFAIP3"
"ASAH1",0,1.4219764885927,0.949,0.338,0,"CD14 Mono","ASAH1"
"BLVRB",0,1.41904108035902,0.868,0.147,0,"CD14 Mono","BLVRB"
"SGK1",0,1.418440272946,0.601,0.057,0,"CD14 Mono","SGK1"
"ZFP36L1",0,1.40907386413683,0.883,0.55,0,"CD14 Mono","ZFP36L1"
"CTSD",0,1.40611340513412,0.923,0.358,0,"CD14 Mono","CTSD"
"VIM",0,1.40534425232644,0.999,0.954,0,"CD14 Mono","VIM"
"CD93",0,1.40510392325187,0.774,0.042,0,"CD14 Mono","CD93"
"FCER1G",0,1.40280198318444,0.993,0.337,0,"CD14 Mono","FCER1G"
"CTSB",0,1.39194904615369,0.886,0.201,0,"CD14 Mono","CTSB"
"GSTP1",0,1.37135074270745,0.983,0.593,0,"CD14 Mono","GSTP1"
"CFP",0,1.36822257039178,0.871,0.125,0,"CD14 Mono","CFP"
"APOBEC3A",0,1.35360396888483,0.601,0.072,0,"CD14 Mono","APOBEC3A"
"IRAK3",0,1.34435719873369,0.798,0.078,0,"CD14 Mono","IRAK3"
"LRP1",0,1.3437875829789,0.817,0.062,0,"CD14 Mono","LRP1"
"KLF10",0,1.33401186602191,0.796,0.144,0,"CD14 Mono","KLF10"
"LRRK2",0,1.33364322457162,0.75,0.081,0,"CD14 Mono","LRRK2"
"JAML",0,1.33224323601486,0.892,0.237,0,"CD14 Mono","JAML"
"ANXA5",0,1.32845032333614,0.949,0.39,0,"CD14 Mono","ANXA5"
"SDCBP",0,1.32170241172118,0.931,0.386,0,"CD14 Mono","SDCBP"
"TNFRSF1B",0,1.31091211457895,0.94,0.363,0,"CD14 Mono","TNFRSF1B"
"CD300E",0,1.29807710066845,0.723,0.076,0,"CD14 Mono","CD300E"
"NINJ1",0,1.29502066665555,0.749,0.177,0,"CD14 Mono","NINJ1"
"VSIR",0,1.29144895209098,0.94,0.368,0,"CD14 Mono","VSIR"
"GCA",0,1.2905277631017,0.801,0.128,0,"CD14 Mono","GCA"
"CD83",0,1.28207717747923,0.561,0.128,0,"CD14 Mono","CD83"
"ALDH2",0,1.28207606210008,0.799,0.078,0,"CD14 Mono","ALDH2"
"CD302",0,1.28178862104257,0.802,0.079,0,"CD14 Mono","CD302"
"LILRB2",0,1.25703203118098,0.832,0.098,0,"CD14 Mono","LILRB2"
"IFI30",0,1.25673503600883,0.628,0.086,0,"CD14 Mono","IFI30"
"TGFBI",0,1.25382621184398,0.79,0.077,0,"CD14 Mono","TGFBI"
"LILRB3",0,1.25352817006112,0.786,0.074,0,"CD14 Mono","LILRB3"
"HIF1A",0,1.25049948627776,0.783,0.276,0,"CD14 Mono","HIF1A"
"CTSZ",0,1.2500582202811,0.915,0.272,0,"CD14 Mono","CTSZ"
"GAPDH",0,1.248375680025,0.999,0.92,0,"CD14 Mono","GAPDH"
"CD44",0,1.23913944566855,0.949,0.663,0,"CD14 Mono","CD44"
"FOSB",0,1.23466693903777,0.607,0.072,0,"CD14 Mono","FOSB"
"MEGF9",0,1.23118946977279,0.751,0.114,0,"CD14 Mono","MEGF9"
"ITGB2",0,1.22954832103743,0.988,0.623,0,"CD14 Mono","ITGB2"
"RBP7",0,1.2280260837606,0.657,0.031,0,"CD14 Mono","RBP7"
"DUSP6",0,1.22687317934824,0.592,0.071,0,"CD14 Mono","DUSP6"
"PYCARD",0,1.2213088018925,0.942,0.386,0,"CD14 Mono","PYCARD"
"TIMP2",0,1.22123330912168,0.807,0.083,0,"CD14 Mono","TIMP2"
"OGFRL1",0,1.21417969655115,0.808,0.163,0,"CD14 Mono","OGFRL1"
"NPC2",0,1.21324955937971,0.931,0.36,0,"CD14 Mono","NPC2"
"GLUL",0,1.20680081413869,0.738,0.178,0,"CD14 Mono","GLUL"
"PLXDC2",0,1.20675705513243,0.764,0.068,0,"CD14 Mono","PLXDC2"
"MXD1",0,1.20440937184449,0.697,0.127,0,"CD14 Mono","MXD1"
"FCGR2A",0,1.18916458835865,0.751,0.079,0,"CD14 Mono","FCGR2A"
"ADA2",0,1.18702235715159,0.818,0.201,0,"CD14 Mono","ADA2"
"CCDC88A",0,1.18233769419088,0.802,0.17,0,"CD14 Mono","CCDC88A"
"CTSH",0,1.18017533484586,0.842,0.18,0,"CD14 Mono","CTSH"
"CLEC4E",0,1.17385607213214,0.639,0.019,0,"CD14 Mono","CLEC4E"
"EVI2B",0,1.17286759744512,0.975,0.665,0,"CD14 Mono","EVI2B"
"ANXA2",0,1.17069795067334,0.945,0.438,0,"CD14 Mono","ANXA2"
"NUP214",0,1.16967397579629,0.819,0.203,0,"CD14 Mono","NUP214"
"FGR",0,1.16011377365899,0.878,0.237,0,"CD14 Mono","FGR"
"TMEM176B",0,1.1583154507238,0.582,0.053,0,"CD14 Mono","TMEM176B"
"CPPED1",0,1.15355493823681,0.792,0.119,0,"CD14 Mono","CPPED1"
"NAIP",0,1.15049659680087,0.751,0.117,0,"CD14 Mono","NAIP"
"ACSL1",0,1.14847833866765,0.522,0.051,0,"CD14 Mono","ACSL1"
"S100A10",0,1.14557488256331,0.987,0.844,0,"CD14 Mono","S100A10"
"GLIPR1",0,1.1433924451061,0.902,0.37,0,"CD14 Mono","GLIPR1"
"SERPINB1",0,1.14295280880044,0.921,0.512,0,"CD14 Mono","SERPINB1"
"HLA-DRA",0,1.14264051997761,0.991,0.502,0,"CD14 Mono","HLA-DRA"
"H2AFY",0,1.13136435673165,0.929,0.431,0,"CD14 Mono","H2AFY"
"AC007952.4",0,1.12824624013954,0.676,0.116,0,"CD14 Mono","AC007952.4"
"HCK",0,1.12734727650619,0.782,0.096,0,"CD14 Mono","HCK"
"TLR2",0,1.12350323714956,0.683,0.044,0,"CD14 Mono","TLR2"
"SLC43A2",0,1.12066761890195,0.704,0.073,0,"CD14 Mono","SLC43A2"
"RAB31",0,1.10831336786382,0.752,0.096,0,"CD14 Mono","RAB31"
"IFNGR2",0,1.10672521643194,0.758,0.147,0,"CD14 Mono","IFNGR2"
"CYP1B1",0,1.09794606729692,0.506,0.019,0,"CD14 Mono","CYP1B1"
"KLF6",0,1.08364185875672,0.882,0.638,0,"CD14 Mono","KLF6"
"ATP6V0B",0,1.07948889990231,0.915,0.419,0,"CD14 Mono","ATP6V0B"
"PILRA",0,1.07826201944156,0.791,0.09,0,"CD14 Mono","PILRA"
"STXBP2",0,1.07148052292115,0.804,0.231,0,"CD14 Mono","STXBP2"
"ASGR1",0,1.07076810576434,0.702,0.038,0,"CD14 Mono","ASGR1"
"QKI",0,1.06761189848897,0.864,0.338,0,"CD14 Mono","QKI"
"HLA-DRB1",0,1.06575843261884,0.955,0.441,0,"CD14 Mono","HLA-DRB1"
"SLC7A7",0,1.06063762047774,0.75,0.08,0,"CD14 Mono","SLC7A7"
"SLC2A3",0,1.05986644552128,0.64,0.33,0,"CD14 Mono","SLC2A3"
"RAC1",0,1.05437230912062,0.964,0.589,0,"CD14 Mono","RAC1"
"ZFAND5",0,1.05340721866123,0.802,0.288,0,"CD14 Mono","ZFAND5"
"CDA",0,1.05226082523212,0.668,0.045,0,"CD14 Mono","CDA"
"AGTRAP",0,1.04921962594726,0.798,0.202,0,"CD14 Mono","AGTRAP"
"IL17RA",0,1.0392181095998,0.748,0.155,0,"CD14 Mono","IL17RA"
"SAMSN1",0,1.03185887177047,0.548,0.239,0,"CD14 Mono","SAMSN1"
"GNAI2",0,1.03073553741452,0.99,0.764,0,"CD14 Mono","GNAI2"
"NR4A1",0,1.02419140061877,0.569,0.081,0,"CD14 Mono","NR4A1"
"POU2F2",0,1.0154561519629,0.866,0.392,0,"CD14 Mono","POU2F2"
"MYO1F",0,1.01184843951157,0.934,0.443,0,"CD14 Mono","MYO1F"
"ETS2",0,1.01153479997749,0.591,0.092,0,"CD14 Mono","ETS2"
"EMILIN2",0,1.01123472727526,0.696,0.074,0,"CD14 Mono","EMILIN2"
"BACH1",0,1.01045974454917,0.724,0.186,0,"CD14 Mono","BACH1"
"LYN",0,1.00166017564141,0.875,0.281,0,"CD14 Mono","LYN"
"RTN3",0,0.998873260565088,0.784,0.215,0,"CD14 Mono","RTN3"
"LTA4H",0,0.997683652693604,0.749,0.248,0,"CD14 Mono","LTA4H"
"BST1",0,0.993017300060927,0.641,0.03,0,"CD14 Mono","BST1"
"IFITM3",0,0.992232451754913,0.71,0.227,0,"CD14 Mono","IFITM3"
"DPYD",0,0.991159782957383,0.754,0.19,0,"CD14 Mono","DPYD"
"PGD",0,0.984245345150606,0.677,0.085,0,"CD14 Mono","PGD"
"FBXL5",0,0.98305955809852,0.78,0.267,0,"CD14 Mono","FBXL5"
"IRF1",0,0.978723230839859,0.824,0.584,0,"CD14 Mono","IRF1"
"ARRB2",0,0.97829141929386,0.89,0.408,0,"CD14 Mono","ARRB2"
"LY86",0,0.977682740119727,0.743,0.132,0,"CD14 Mono","LY86"
"RXRA",0,0.975909331401127,0.713,0.087,0,"CD14 Mono","RXRA"
"LYST",0,0.975713265333571,0.851,0.327,0,"CD14 Mono","LYST"
"PECAM1",0,0.974177902235888,0.792,0.176,0,"CD14 Mono","PECAM1"
"MYADM",0,0.973812435573349,0.692,0.187,0,"CD14 Mono","MYADM"
"ACTB",0,0.972401754920006,1,0.997,0,"CD14 Mono","ACTB"
"PIM3",0,0.971925535878899,0.664,0.216,0,"CD14 Mono","PIM3"
"HLA-DRB5",0,0.969512358394305,0.774,0.267,0,"CD14 Mono","HLA-DRB5"
"MARCH1",0,0.967165306582268,0.766,0.177,0,"CD14 Mono","MARCH1"
"BCL6",0,0.96670267068699,0.551,0.072,0,"CD14 Mono","BCL6"
"CAPG",0,0.96219496595665,0.721,0.132,0,"CD14 Mono","CAPG"
"NFKBID",0,0.958573769344306,0.59,0.096,0,"CD14 Mono","NFKBID"
"SCPEP1",0,0.958464167292088,0.721,0.143,0,"CD14 Mono","SCPEP1"
"SULT1A1",0,0.954688993910239,0.663,0.094,0,"CD14 Mono","SULT1A1"
"AHNAK",0,0.953345958526571,0.957,0.648,0,"CD14 Mono","AHNAK"
"TNFSF10",0,0.949575100307093,0.716,0.243,0,"CD14 Mono","TNFSF10"
"PTAFR",0,0.947171913411645,0.579,0.028,0,"CD14 Mono","PTAFR"
"CD74",0,0.938775701959123,0.998,0.703,0,"CD14 Mono","CD74"
"RAB32",0,0.934744263895702,0.723,0.085,0,"CD14 Mono","RAB32"
"CARD16",0,0.933934987877883,0.881,0.44,0,"CD14 Mono","CARD16"
"SOCS3",0,0.931664211861193,0.571,0.182,0,"CD14 Mono","SOCS3"
"AC245014.3",0,0.929477282143055,0.539,0.101,0,"CD14 Mono","AC245014.3"
"GAS7",0,0.929341593891989,0.646,0.076,0,"CD14 Mono","GAS7"
"PPT1",0,0.927227779419145,0.735,0.199,0,"CD14 Mono","PPT1"
"RILPL2",0,0.926768477325563,0.759,0.251,0,"CD14 Mono","RILPL2"
"IRF2BP2",0,0.925439323288421,0.789,0.367,0,"CD14 Mono","IRF2BP2"
"C1orf162",0,0.918642198250619,0.889,0.415,0,"CD14 Mono","C1orf162"
"MGST1",0,0.918011719614122,0.597,0.023,0,"CD14 Mono","MGST1"
"CDKN1A",0,0.915303370688335,0.552,0.076,0,"CD14 Mono","CDKN1A"
"LCP1",0,0.909358724372426,0.996,0.834,0,"CD14 Mono","LCP1"
"SAMHD1",0,0.908254101461679,0.946,0.634,0,"CD14 Mono","SAMHD1"
"GRINA",0,0.907428958044832,0.67,0.119,0,"CD14 Mono","GRINA"
"IFNGR1",0,0.907363749137719,0.753,0.222,0,"CD14 Mono","IFNGR1"
"THEMIS2",0,0.906275920156368,0.754,0.203,0,"CD14 Mono","THEMIS2"
"BTG2",0,0.905531553022616,0.816,0.581,0,"CD14 Mono","BTG2"
"YBX3",0,0.905249845575518,0.748,0.233,0,"CD14 Mono","YBX3"
"LAPTM5",0,0.899977365905165,0.995,0.854,0,"CD14 Mono","LAPTM5"
"PRAM1",0,0.898487412472607,0.647,0.061,0,"CD14 Mono","PRAM1"
"RNASE6",0,0.898428330634865,0.664,0.079,0,"CD14 Mono","RNASE6"
"CREB5",0,0.898137190526132,0.579,0.022,0,"CD14 Mono","CREB5"
"LILRA5",0,0.896888565917715,0.633,0.067,0,"CD14 Mono","LILRA5"
"CD163",0,0.895775160103824,0.568,0.015,0,"CD14 Mono","CD163"
"ZYX",0,0.894014310366486,0.781,0.251,0,"CD14 Mono","ZYX"
"PKM",0,0.89296576811008,0.87,0.438,0,"CD14 Mono","PKM"
"OAZ1",0,0.891201576674673,1,0.972,0,"CD14 Mono","OAZ1"
"C19orf38",0,0.889458395022359,0.671,0.079,0,"CD14 Mono","C19orf38"
"FKBP1A",0,0.88604901515535,0.9,0.451,0,"CD14 Mono","FKBP1A"
"DPYSL2",0,0.8860256995285,0.704,0.15,0,"CD14 Mono","DPYSL2"
"USP15",0,0.884965990059883,0.866,0.574,0,"CD14 Mono","USP15"
"CNPY3",0,0.882523381780062,0.824,0.334,0,"CD14 Mono","CNPY3"
"AOAH",0,0.881654726911676,0.738,0.189,0,"CD14 Mono","AOAH"
"TPP1",0,0.875976645545266,0.756,0.236,0,"CD14 Mono","TPP1"
"IQGAP1",0,0.87505659301163,0.949,0.608,0,"CD14 Mono","IQGAP1"
"UBE2D1",0,0.871612889925674,0.655,0.144,0,"CD14 Mono","UBE2D1"
"HNMT",0,0.871589362655338,0.602,0.042,0,"CD14 Mono","HNMT"
"SIRPA",0,0.870164833799599,0.597,0.025,0,"CD14 Mono","SIRPA"
"CLEC4A",0,0.870019812758602,0.642,0.061,0,"CD14 Mono","CLEC4A"
"METTL9",0,0.865007307149083,0.78,0.376,0,"CD14 Mono","METTL9"
"ENTPD1",0,0.86316375468346,0.598,0.06,0,"CD14 Mono","ENTPD1"
"ANXA1",0,0.862055029577751,0.946,0.679,0,"CD14 Mono","ANXA1"
"CRTAP",0,0.861863176863814,0.686,0.145,0,"CD14 Mono","CRTAP"
"GADD45B",0,0.860930129668338,0.58,0.264,0,"CD14 Mono","GADD45B"
"BNIP3L",0,0.858965934377414,0.769,0.268,0,"CD14 Mono","BNIP3L"
"JUNB",0,0.855836852496326,0.991,0.856,0,"CD14 Mono","JUNB"
"NUMB",0,0.854173444602919,0.707,0.189,0,"CD14 Mono","NUMB"
"SKAP2",0,0.853886131849803,0.769,0.259,0,"CD14 Mono","SKAP2"
"ANPEP",0,0.85341409103209,0.533,0.028,0,"CD14 Mono","ANPEP"
"PLSCR1",0,0.852440853796603,0.645,0.143,0,"CD14 Mono","PLSCR1"
"RNF144B",0,0.851994950017527,0.509,0.069,0,"CD14 Mono","RNF144B"
"NCOA4",0,0.850832938614103,0.819,0.287,0,"CD14 Mono","NCOA4"
"ZNF385A",0,0.850612558245532,0.632,0.064,0,"CD14 Mono","ZNF385A"
"OSCAR",0,0.842775290688933,0.606,0.042,0,"CD14 Mono","OSCAR"
"CASP1",0,0.841372601946494,0.793,0.291,0,"CD14 Mono","CASP1"
"IRS2",0,0.840195107616453,0.537,0.114,0,"CD14 Mono","IRS2"
"CALM2",0,0.838134343201141,0.984,0.847,0,"CD14 Mono","CALM2"
"FAM198B",0,0.837890546342373,0.552,0.024,0,"CD14 Mono","FAM198B"
"EVI2A",0,0.837781449712069,0.756,0.321,0,"CD14 Mono","EVI2A"
"RASSF2",0,0.83683150013503,0.662,0.13,0,"CD14 Mono","RASSF2"
"LMO2",0,0.835942116485897,0.681,0.099,0,"CD14 Mono","LMO2"
"NAGK",0,0.833489231605107,0.686,0.179,0,"CD14 Mono","NAGK"
"IFI6",0,0.832810504147702,0.543,0.271,0,"CD14 Mono","IFI6"
"C9orf72",0,0.831574360178068,0.664,0.128,0,"CD14 Mono","C9orf72"
"NABP1",0,0.827965541571413,0.551,0.131,0,"CD14 Mono","NABP1"
"CREG1",0,0.826869685371173,0.613,0.071,0,"CD14 Mono","CREG1"
"RAB11FIP1",0,0.826867358592739,0.704,0.243,0,"CD14 Mono","RAB11FIP1"
"SNX10",0,0.824471307117384,0.689,0.174,0,"CD14 Mono","SNX10"
"AHR",0,0.822218973073111,0.521,0.064,0,"CD14 Mono","AHR"
"HLA-DQB1",0,0.815268330239977,0.815,0.308,0,"CD14 Mono","HLA-DQB1"
"PICALM",0,0.815163213004999,0.692,0.188,0,"CD14 Mono","PICALM"
"RHOQ",0,0.813215230246756,0.686,0.178,0,"CD14 Mono","RHOQ"
"LGALS9",0,0.812567542912468,0.701,0.183,0,"CD14 Mono","LGALS9"
"PYGL",0,0.811026372480091,0.572,0.036,0,"CD14 Mono","PYGL"
"AP2S1",0,0.810801154855062,0.878,0.438,0,"CD14 Mono","AP2S1"
"LRRFIP1",0,0.810613649058087,0.969,0.755,0,"CD14 Mono","LRRFIP1"
"GLRX",0,0.81041301731386,0.858,0.478,0,"CD14 Mono","GLRX"
"SHTN1",0,0.810024614784957,0.567,0.044,0,"CD14 Mono","SHTN1"
"GLIPR2",0,0.808874128169919,0.751,0.259,0,"CD14 Mono","GLIPR2"
"MS4A7",0,0.808591842762003,0.694,0.109,0,"CD14 Mono","MS4A7"
"SYK",0,0.807433616915147,0.678,0.15,0,"CD14 Mono","SYK"
"LILRA2",0,0.80078868999491,0.606,0.058,0,"CD14 Mono","LILRA2"
"TLR4",0,0.800649687938624,0.551,0.038,0,"CD14 Mono","TLR4"
"RASSF4",0,0.799043576017103,0.622,0.087,0,"CD14 Mono","RASSF4"
"ZNF106",0,0.798899226050845,0.769,0.362,0,"CD14 Mono","ZNF106"
"HLA-DMB",0,0.795797511736908,0.716,0.202,0,"CD14 Mono","HLA-DMB"
"CKAP4",0,0.792542428193054,0.541,0.055,0,"CD14 Mono","CKAP4"
"ACTR2",0,0.792509651931472,0.976,0.76,0,"CD14 Mono","ACTR2"
"PLEKHO1",0,0.792254935896096,0.783,0.331,0,"CD14 Mono","PLEKHO1"
"ATP6V1B2",0,0.79119836012825,0.627,0.112,0,"CD14 Mono","ATP6V1B2"
"GNS",0,0.789192741347643,0.624,0.103,0,"CD14 Mono","GNS"
"ITGAM",0,0.788602509733995,0.63,0.133,0,"CD14 Mono","ITGAM"
"TMEM170B",0,0.787639232707029,0.548,0.039,0,"CD14 Mono","TMEM170B"
"MIDN",0,0.785969158270237,0.732,0.291,0,"CD14 Mono","MIDN"
"ATP6V0D1",0,0.779718047050844,0.711,0.218,0,"CD14 Mono","ATP6V0D1"
"ARHGAP26",0,0.77797139212284,0.664,0.185,0,"CD14 Mono","ARHGAP26"
"CDC42EP3",0,0.776478248541502,0.619,0.218,0,"CD14 Mono","CDC42EP3"
"CD55",0,0.775470392386384,0.738,0.39,0,"CD14 Mono","CD55"
"PRELID1",0,0.773614364259217,0.918,0.625,0,"CD14 Mono","PRELID1"
"KLF4",0,0.772929901485867,0.537,0.056,0,"CD14 Mono","KLF4"
"LY96",0,0.770316526752822,0.621,0.113,0,"CD14 Mono","LY96"
"TET2",0,0.769655332785688,0.662,0.184,0,"CD14 Mono","TET2"
"CD4",0,0.769580327817153,0.687,0.218,0,"CD14 Mono","CD4"
"LRRC25",0,0.768098286102801,0.661,0.082,0,"CD14 Mono","LRRC25"
"ARPC1B",0,0.767487363001002,0.986,0.767,0,"CD14 Mono","ARPC1B"
"TFEC",0,0.766709242620197,0.543,0.035,0,"CD14 Mono","TFEC"
"SNX18",0,0.766569124498613,0.569,0.116,0,"CD14 Mono","SNX18"
"PAK1",0,0.766473202125194,0.64,0.118,0,"CD14 Mono","PAK1"
"CCNL1",0,0.766241406332302,0.898,0.674,0,"CD14 Mono","CCNL1"
"NOTCH2",0,0.763495243600711,0.635,0.14,0,"CD14 Mono","NOTCH2"
"TMEM167A",0,0.762459149120958,0.712,0.255,0,"CD14 Mono","TMEM167A"
"PDE4B",0,0.76231324481031,0.5,0.253,0,"CD14 Mono","PDE4B"
"HLA-DMA",0,0.761842940623082,0.715,0.241,0,"CD14 Mono","HLA-DMA"
"CAST",0,0.760096596557485,0.971,0.744,0,"CD14 Mono","CAST"
"GNAQ",0,0.756847874328477,0.653,0.164,0,"CD14 Mono","GNAQ"
